t,u,v,i,j
0.404849,0.545305,-0.00512188,182,100
0.40794,0.538629,-0.00511769,182,100
0.41103,0.532037,-0.00511197,182,100
0.414121,0.525549,-0.00510487,182,100
0.417211,0.519179,-0.00509648,182,100
0.420302,0.512933,-0.0050869,182,100
0.423392,0.506806,-0.00507614,182,100
0.426482,0.500785,-0.00506422,182,100
0.429573,0.494856,-0.00505111,182,100
0.432663,0.489012,-0.00503681,182,100
0.435754,0.48325,-0.00502134,182,100
0.438844,0.47758,-0.00500478,182,100
0.441935,0.472013,-0.00498722,182,100
0.445025,0.466563,-0.00496877,182,100
0.448116,0.461235,-0.00494951,182,100
0.451206,0.45603,-0.00492949,182,100
0.454296,0.45094,-0.00490873,182,100
0.457387,0.445954,-0.00488724,182,100
0.460477,0.441062,-0.00486501,182,100
0.463568,0.43626,-0.00484206,182,100
0.466658,0.431549,-0.00481844,182,100
0.469749,0.426937,-0.00479421,182,100
0.472839,0.422432,-0.00476946,182,100
0.47593,0.41804,-0.00474426,182,100
0.47902,0.413764,-0.00471867,182,100
0.482111,0.409599,-0.00469272,182,100
0.485201,0.405537,-0.00466642,182,100
0.488291,0.401571,-0.00463979,182,100
0.491382,0.397694,-0.00461284,182,100
0.494472,0.393904,-0.00458557,182,100
0.497563,0.390202,-0.00455802,182,100
0.500653,0.386595,-0.00453029,182,100
0.503744,0.383087,-0.00450243,182,100
0.506834,0.379681,-0.00447446,182,100
0.509925,0.376376,-0.00444644,182,100
0.513015,0.373165,-0.00441838,182,100
0.516106,0.370043,-0.00439026,182,100
0.519196,0.367005,-0.00436216,182,100
0.522286,0.364045,-0.00433407,182,100
0.525377,0.361162,-0.0043059,182,100
0.528467,0.35836,-0.00427786,182,100
0.531558,0.35564,-0.00424992,182,100
0.534648,0.353005,-0.00422207,182,100
0.537739,0.350455,-0.00419439,182,100
0.540829,0.347988,-0.0041669,182,100
0.54392,0.345599,-0.00413959,182,100
0.54701,0.343283,-0.00411244,182,100
0.550101,0.341036,-0.00408554,182,100
0.553191,0.338855,-0.00405881,182,100
0.556281,0.336741,-0.00403236,182,100
0.559372,0.334692,-0.00400613,182,100
0.562462,0.33271,-0.00398022,182,100
0.565553,0.330796,-0.00395456,182,100
0.568643,0.328949,-0.00392921,182,100
0.571734,0.327168,-0.0039042,182,100
0.574824,0.325449,-0.00387952,182,100
0.577915,0.323788,-0.00385515,182,100
0.581005,0.322183,-0.00383111,182,100
0.584095,0.32063,-0.00380744,182,100
0.587186,0.319129,-0.00378412,182,100
0.590276,0.31768,-0.00376116,182,100
0.593367,0.316282,-0.00373858,182,100
0.596457,0.314935,-0.00371636,182,100
0.599548,0.313639,-0.00369451,182,100
0.602638,0.312394,-0.00367306,182,100
0.605729,0.311197,-0.00365203,182,100
0.608819,0.310043,-0.00363137,182,100
0.61191,0.308931,-0.0036111,182,100
0.615,0.307858,-0.00359122,182,100
