t,u,v,i,j
0,0.99999,1.92763e-06,182,100
0.00309045,0.990026,5.63461e-05,182,100
0.0061809,0.989925,-2.76342e-05,182,100
0.00927136,0.98996,-0.000107527,182,100
0.0123618,0.991069,-6.72846e-05,182,100
0.0154523,0.991251,-0.00010672,182,100
0.0185427,0.991771,-9.92757e-05,182,100
0.0216332,0.991559,-0.000124667,182,100
0.0247236,0.989533,-0.000152198,182,100
0.0278141,0.985443,-0.000141237,182,100
0.0309045,0.981729,-0.000106814,182,100
0.033995,0.980326,-0.000112009,182,100
0.0370854,0.981295,-0.000138409,182,100
0.0401759,0.983245,-0.000155731,182,100
0.0432663,0.985176,-0.000164218,182,100
0.0463568,0.986729,-0.000172488,182,100
0.0494472,0.987614,-0.000184942,182,100
0.0525377,0.987282,-0.000199456,182,100
0.0556281,0.98557,-0.000202935,182,100
0.0587186,0.983326,-0.00019342,182,100
0.061809,0.981874,-0.000188682,182,100
0.0648995,0.981918,-0.000198451,182,100
0.0679899,0.983175,-0.000214536,182,100
0.0710804,0.984925,-0.000228386,182,100
0.0741709,0.986574,-0.000239909,182,100
0.0772613,0.987716,-0.00025209,182,100
0.0803518,0.988011,-0.000264772,182,100
0.0834422,0.987313,-0.000273571,182,100
0.0865327,0.985957,-0.000276054,182,100
0.0896231,0.984685,-0.000277115,182,100
0.0927136,0.984178,-0.000283702,182,100
0.095804,0.984627,-0.000296891,182,100
0.0988945,0.985746,-0.000312897,182,100
0.101985,0.98706,-0.000328873,182,100
0.105075,0.988133,-0.00034465,182,100
0.108166,0.988634,-0.000360311,182,100
0.111256,0.9884,-0.000374419,182,100
0.114347,0.987545,-0.000385572,182,100
0.117437,0.986473,-0.000395052,182,100
0.120528,0.985685,-0.000406375,182,100
0.123618,0.985497,-0.000422004,182,100
0.126709,0.985901,-0.000441576,182,100
0.129799,0.986639,-0.000463332,182,100
0.132889,0.987355,-0.00048604,182,100
0.13598,0.987732,-0.000509148,182,100
0.13907,0.987572,-0.000532004,182,100
0.142161,0.98687,-0.000553946,182,100
0.145251,0.985826,-0.000575322,182,100
0.148342,0.984773,-0.00059785,182,100
0.151432,0.984004,-0.000623517,182,100
0.154523,0.98364,-0.000653208,182,100
0.157613,0.983593,-0.000686522,182,100
0.160704,0.98363,-0.000722561,182,100
0.163794,0.983487,-0.000760572,182,100
0.166884,0.982956,-0.000799989,182,100
0.169975,0.981954,-0.000840413,182,100
0.173065,0.980558,-0.000881935,182,100
0.176156,0.978962,-0.00092541,182,100
0.179246,0.977396,-0.000972145,182,100
0.182337,0.976012,-0.00102317,182,100
0.185427,0.974823,-0.00107873,182,100
0.188518,0.973711,-0.00113842,182,100
0.191608,0.972481,-0.00120156,182,100
0.194698,0.970948,-0.00126746,182,100
0.197789,0.968996,-0.00133558,182,100
0.200879,0.96662,-0.00140567,182,100
0.20397,0.963922,-0.00147795,182,100
0.20706,0.961061,-0.00155299,182,100
0.210151,0.958179,-0.00163139,182,100
0.213241,0.955342,-0.00171342,182,100
0.216332,0.952515,-0.00179881,182,100
0.219422,0.949581,-0.0018869,182,100
0.222513,0.946399,-0.0019769,182,100
0.225603,0.942857,-0.00206803,182,100
0.228693,0.938911,-0.00215973,182,100
0.231784,0.934605,-0.00225175,182,100
0.234874,0.930041,-0.00234415,182,100
0.237965,0.92534,-0.00243716,182,100
0.241055,0.920588,-0.00253092,182,100
0.244146,0.915805,-0.0026253,182,100
0.247236,0.910942,-0.00271985,182,100
0.250327,0.905909,-0.00281393,182,100
0.253417,0.900616,-0.00290684,182,100
0.256508,0.895012,-0.00299804,182,100
0.259598,0.889102,-0.00308718,182,100
0.262688,0.882948,-0.00317421,182,100
0.265779,0.876644,-0.00325927,182,100
0.268869,0.870273,-0.00334253,182,100
0.27196,0.863883,-0.00342407,182,100
0.27505,0.85747,-0.00350375,182,100
0.278141,0.850988,-0.00358127,182,100
0.281231,0.844373,-0.00365621,182,100
0.284322,0.837576,-0.00372821,182,100
0.287412,0.830583,-0.00379703,182,100
0.290503,0.823424,-0.00386262,182,100
0.293593,0.816161,-0.00392515,182,100
0.296683,0.808865,-0.00398483,182,100
0.299774,0.801587,-0.00404189,182,100
0.302864,0.794348,-0.0040964,182,100
0.305955,0.787132,-0.00414832,182,100
0.309045,0.779898,-0.00419746,182,100
0.312136,0.772606,-0.00424364,182,100
0.315226,0.765232,-0.0042867,182,100
0.318317,0.757783,-0.00432664,182,100
0.321407,0.750292,-0.00436358,182,100
0.324497,0.742812,-0.00439773,182,100
0.327588,0.735389,-0.00442933,182,100
0.330678,0.72805,-0.00445857,182,100
0.333769,0.720798,-0.00448551,182,100
0.336859,0.713611,-0.00451013,182,100
0.33995,0.706457,-0.00453234,182,100
0.34304,0.699312,-0.00455205,182,100
0.346131,0.692168,-0.00456925,182,100
0.349221,0.685038,-0.00458401,182,100
0.352312,0.677956,-0.00459649,182,100
0.355402,0.670955,-0.0046069,182,100
0.358492,0.664065,-0.00461542,182,100
0.361583,0.657295,-0.00462219,182,100
0.364673,0.650637,-0.00462723,182,100
0.367764,0.644069,-0.00463052,182,100
0.370854,0.637571,-0.00463202,182,100
0.373945,0.631126,-0.0046317,182,100
0.377035,0.624736,-0.00462961,182,100
0.380126,0.618418,-0.00462583,182,100
0.383216,0.612194,-0.00462053,182,100
0.386307,0.606088,-0.00461387,182,100
0.389397,0.600114,-0.00460596,182,100
0.392487,0.59427,-0.0045969,182,100
0.395578,0.588546,-0.00458668,182,100
0.398668,0.582922,-0.0045753,182,100
0.401759,0.577384,-0.00456273,182,100
0.404849,0.571925,-0.00454898,182,100
0.40794,0.56655,-0.00453413,182,100
0.41103,0.561273,-0.00451826,182,100
0.414121,0.55611,-0.00450151,182,100
0.417211,0.551074,-0.00448399,182,100
0.420302,0.546169,-0.00446578,182,100
0.423392,0.541389,-0.00444691,182,100
0.426482,0.536722,-0.0044274,182,100
0.429573,0.532154,-0.00440724,182,100
0.432663,0.527675,-0.00438643,182,100
0.435754,0.523284,-0.004365,182,100
0.438844,0.518987,-0.00434298,182,100
0.441935,0.514794,-0.00432053,182,100
0.445025,0.510714,-0.0042977,182,100
0.448116,0.506753,-0.00427455,182,100
0.451206,0.50291,-0.00425116,182,100
0.454296,0.499176,-0.00422753,182,100
0.457387,0.495542,-0.00420366,182,100
0.460477,0.491997,-0.00417955,182,100
0.463568,0.488538,-0.00415524,182,100
0.466658,0.485162,-0.00413071,182,100
0.469749,0.481875,-0.00410605,182,100
0.472839,0.478685,-0.00408133,182,100
0.47593,0.475597,-0.00405661,182,100
0.47902,0.47261,-0.00403192,182,100
0.482111,0.469722,-0.00400729,182,100
0.485201,0.466924,-0.00398271,182,100
0.488291,0.464209,-0.00395822,182,100
0.491382,0.46157,-0.00393382,182,100
0.494472,0.459005,-0.00390949,182,100
0.497563,0.456512,-0.00388522,182,100
0.500653,0.454098,-0.00386115,182,100
0.503744,0.451766,-0.0038373,182,100
0.506834,0.449517,-0.00381364,182,100
0.509925,0.44735,-0.00379025,182,100
0.513015,0.445259,-0.00376714,182,100
0.516106,0.443239,-0.00374424,182,100
0.519196,0.441286,-0.00372163,182,100
0.522286,0.439394,-0.00369935,182,100
0.525377,0.437562,-0.00367727,182,100
0.528467,0.435791,-0.00365548,182,100
0.531558,0.434081,-0.00363404,182,100
0.534648,0.432434,-0.00361296,182,100
0.537739,0.430851,-0.00359219,182,100
0.540829,0.42933,-0.00357181,182,100
0.54392,0.427866,-0.0035518,182,100
0.54701,0.426457,-0.00353212,182,100
0.550101,0.425097,-0.0035128,182,100
0.553191,0.423787,-0.00349388,182,100
0.556281,0.422522,-0.00347534,182,100
0.559372,0.421303,-0.00345717,182,100
0.562462,0.420128,-0.00343939,182,100
0.565553,0.418999,-0.00342199,182,100
0.568643,0.417915,-0.00340498,182,100
0.571734,0.416876,-0.00338835,182,100
0.574824,0.41588,-0.00337213,182,100
0.577915,0.414923,-0.0033563,182,100
0.581005,0.414003,-0.00334085,182,100
0.584095,0.413117,-0.00332578,182,100
0.587186,0.412263,-0.00331111,182,100
0.590276,0.411441,-0.00329682,182,100
0.593367,0.410651,-0.0032829,182,100
0.596457,0.409892,-0.00326937,182,100
0.599548,0.409164,-0.0032562,182,100
0.602638,0.408468,-0.0032434,182,100
0.605729,0.407801,-0.00323098,182,100
0.608819,0.407161,-0.00321892,182,100
0.61191,0.406545,-0.00320721,182,100
0.615,0.405951,-0.00319584,182,100
0.61809,0.40538,-0.00318483,182,100
0.621181,0.404829,-0.00317416,182,100
0.624271,0.404299,-0.00316382,182,100
0.627362,0.40379,-0.0031538,182,100
0.630452,0.403301,-0.00314411,182,100
0.633543,0.402833,-0.00313473,182,100
0.636633,0.402384,-0.00312565,182,100
0.639724,0.401952,-0.00311689,182,100
0.642814,0.401535,-0.00310841,182,100
0.645905,0.401131,-0.00310023,182,100
0.648995,0.400741,-0.00309232,182,100
0.652085,0.400364,-0.00308469,182,100
0.655176,0.4,-0.00307733,182,100
0.658266,0.399649,-0.00307022,182,100
0.661357,0.39931,-0.00306337,182,100
0.664447,0.398985,-0.00305676,182,100
0.667538,0.39867,-0.00305039,182,100
0.670628,0.398366,-0.00304426,182,100
0.673719,0.39807,-0.00303835,182,100
0.676809,0.397782,-0.00303266,182,100
0.679899,0.397501,-0.00302717,182,100
0.68299,0.397228,-0.0030219,182,100
0.68608,0.396962,-0.00301681,182,100
0.689171,0.396704,-0.00301192,182,100
0.692261,0.396453,-0.00300722,182,100
0.695352,0.396209,-0.00300269,182,100
0.698442,0.395972,-0.00299833,182,100
0.701533,0.39574,-0.00299414,182,100
0.704623,0.395512,-0.00299011,182,100
0.707714,0.395289,-0.00298623,182,100
0.710804,0.395069,-0.0029825,182,100
0.713894,0.394853,-0.00297891,182,100
0.716985,0.394641,-0.00297546,182,100
0.720075,0.394432,-0.00297214,182,100
0.723166,0.394228,-0.00296894,182,100
0.726256,0.394027,-0.00296587,182,100
